,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1,nMin1
AK,0.011116847390694467,0.00016124714982591862,0.00041422523523608885,0.030358178854034235,0.02752238191447928,0.020122723752391856,0.003666801028322586,0.008367010402841754,0.00434626913916014,0.00016124714982591862,5.7912088995734885e-05,0.0010358999420926912,0.0022031360273581722,0.054639327041849504,0.005079895723820674,0.0008928036630270468,0.058293657364942485,0.00867479758974692,0.03504331266096606,0.00014767272360375792,0.04084047214613868,0.012443460717368064,0.017217203335298623,0.002637534129675013,0.00011047971325058126,0.001886128463983859,0.0052085436053348425,0.008081875932339935,0.006278724541011705,0.0005907159967542819,0.00032466351933458515,0.005537937122116211,0.010747487067039247,0.029673893962399132,0.010917134974154594,0.0018971674376997171,0.002580093677380607,0.00018346162137597143,0.0038472938091410583,0.005127529020925409,0.015946102302945138,0.0022797705233619215,0.0033649880273616843,0.0063614139591351895,0.0004620966988867897,0.00024884920117425465,0.02803208372341474,0.007711307385043416,0.019635774123939458,0.004991234860817558,0.001959435167988069,0.005680206673470634,0.0035678538662761734,0.0006249547009990339,0.004516616416592191,0.002556564027537629,0.0030260332867280016,0.004761994203901458,0.015468895985046631,0.02218013060396268,0.016077857271599653,0.004179276417669568,A
AL,0.11546407771069098,0.015226761464269755,0.04380498005861886,0.0751232812258973,0.13269597598182295,0.1582710326028082,0.16233515717904004,0.15396725561798855,0.15170575962762473,0.015226761464269755,0.06760317474867474,0.0022832572039787214,0.3914536605204,0.05969593869407765,0.03357020370287881,0.11492658814107373,0.08247482146471045,0.10933226328018748,0.30230800621268555,0.1669364900640422,0.10510998848760797,0.09647112141178772,0.0835870117884751,0.48861093932645266,0.10178844744697392,0.07716893740812439,0.09672931462960792,0.13345702824864933,0.05242970973978564,0.5835248833284938,0.10317222680005729,0.05450866652029549,0.11162290277737175,0.06005839358365064,0.09541892509954697,0.04773031619916274,0.6127981680635547,0.06030557219054218,0.0758862643366873,0.09273901634904239,0.05466236196611537,0.07040624429739678,0.17099007515583914,0.11305355415111043,0.6812704712952498,0.08386100856437197,0.05690312266925614,0.07771418207851294,0.1297488248226625,0.14226609386666778,0.24033316333958774,0.24504444771345046,0.27630482687804736,0.3248049460216501,0.07851738110841547,0.09070696541837017,0.07598294490080228,0.09773910504682667,0.08507721845482646,0.14506024811800325,0.07159421710258268,0.1944350095422355,A
AM,0.030246724568793737,0.0189847770380319,0.0017376261679874303,0.04373002394573189,0.036966345951130325,0.05004650068033794,0.04628538245922367,0.045345602062769844,0.027078786216207688,0.0189847770380319,0.0006002734884565128,0.003722013780683031,0.013545700923890694,0.07489624190806649,0.01013446223681143,0.07005171064047956,0.03754678772032678,0.0218850045475418,0.026801806473900527,0.04451663789366121,0.06900569676168446,0.016762059530092212,0.07125001319053842,0.030842369330068394,0.061395312839877994,0.027191151880956888,0.07812158728262188,0.02639533837378999,0.0073645994705697545,0.07946694398725357,0.09165544298468861,0.06328932085419359,0.06590878850289016,0.029520801474958107,0.012005519352922902,0.03554472803400967,0.006192189827626073,0.06454354870193844,0.04523026600654106,0.03700400250705579,0.029937812985236453,0.01614389516421924,0.011594001217491733,0.0035802672868287797,0.010539289472429521,0.024800596014431537,0.04268238694120525,0.03055764920876692,0.035937127622647724,0.021115820379401316,0.04442681040925972,0.004705889884117036,0.00597611924862486,0.009721383011132264,0.04689597781207212,0.06536410452917656,0.05583159635002609,0.03567620041870179,0.04884327197460238,0.020620900058706232,0.02693388513297692,0.016650078420724603,A
AN,0.21078094422900145,0.21923424709285383,0.5377947681417826,0.10454933588621824,0.10686148266106485,0.12467324405703524,0.14248230093136194,0.16709901636565636,0.1631956213822921,0.21923424709285383,0.7645076742647535,0.14223911452148913,0.04481802349524163,0.10524755454600229,0.11519723649554321,0.03318829760818522,0.08303281918705457,0.11086932700894521,0.23457230033752008,0.10617272779337841,0.09852808639587705,0.1673527289274605,0.12578552757937725,0.15700902976653727,0.20666342487234396,0.08964903210293612,0.13318907508365824,0.12610548642748654,0.21114677628221512,0.10190121210621707,0.13602931299293772,0.12360096190520407,0.19955881958418606,0.15060267585491985,0.18023798260460905,0.1785732238003778,0.2178770327119986,0.07217200237225299,0.12239456445364494,0.13111909645510428,0.21926132263864936,0.15547005401585015,0.15348479896944472,0.2744720285748001,0.1974424527598116,0.4063141382906748,0.11398491600547536,0.14115908625161225,0.1696395363165166,0.17183769364053408,0.12368220012370784,0.17454345306081676,0.2279152069767072,0.1376325076172243,0.1633783359395663,0.14686464586743705,0.1418217298368447,0.1341352449731943,0.09329342756074778,0.13426012488695654,0.39743324706572747,0.1568622216384469,A
AO,0.0004912008646577055,0.00021776803279599578,0.0006337601529944624,0.0003731597988946054,0.0009315657207566566,0.00041216142139638656,0.000288326725758615,0.0001029490674138357,6.523612441105662e-05,0.00021776803279599578,7.620420788814935e-05,0.0016065517336236788,0.00017029663452405882,0.0003571775934073767,0.0004325385260555857,0.0007185354636433712,0.0009977119292621016,0.001071756257981813,0.0007691205556641001,0.001173755730155777,0.0004812839350996458,0.0,4.740378368866983e-05,0.0002460092279213385,0.0,0.0002120092499781356,0.000630756853968866,4.255552421744571e-05,0.0005868391626520734,0.00011333550973679795,0.0,7.729492668921044e-05,0.00020306272348560804,0.0,0.00019591211172631097,0.0,0.00027940999928607397,0.0,0.00031051723524210293,0.0,5.285166607587673e-05,0.00015999455415484883,0.0,0.0,0.0,0.0002016683979968575,0.0007250020325972255,0.00047725127514514716,0.00019332894992989347,0.0022708670746833946,3.306769834517017e-05,7.995044280115198e-05,0.0,0.0,0.0044266229030793915,0.00014538347139402298,0.00011196511145083249,0.00037144557383364074,0.00034965182162006265,0.00032387259458832547,0.0002914127495577736,0.0006531843316127637,A
AP,0.021537933562968677,0.0006403473082262689,0.003030936875362034,0.005507964057798923,0.024935308040387575,0.020829049648308548,0.04641384194516291,0.03286521564974559,0.02484256155337262,0.0006403473082262689,0.001158456347382235,0.006297933323877301,0.00658806079072454,0.005363801867402715,0.005481805091713706,0.04025122205544039,0.03864862376482637,0.01207040496111025,0.004933947162459911,0.04423173315182976,0.01928433272538424,0.02092873234366663,0.013082120942213607,0.001937273829261469,0.06381198365846262,0.06776685485827498,0.06695489125159503,0.012533655955182996,0.04728353410808585,0.002001417779152616,0.10244566180059328,0.06435900216004119,0.024622045904620648,0.010003774698322372,0.00549020948036813,0.0010300823729142287,0.001057975784627114,0.06354446175741045,0.03500022508739542,0.011003161251732705,0.022259187919982017,0.013293272882822256,0.020272585360222528,0.025538451638730947,0.00037899827430713594,0.029121077647201486,0.023245264246779623,0.019922694253554377,0.015416006081046816,0.02040218315320801,0.01052903531527886,0.010263951197207728,0.016555089750459554,0.007510805701785981,0.04787736235733903,0.0665373499427786,0.047210595932947165,0.04062898661109171,0.027153513583720503,0.02232269572225928,0.008489036545712016,0.0036471381670684804,A
AQ,0.00023830568148792218,6.265188083951508e-05,1.7633631783688742e-05,0.00035711361278067396,0.0001827157390843575,0.000489452938623971,0.000693787082090267,0.00024336037136676487,9.107210692589373e-05,6.265188083951508e-05,3.7380999606470215e-06,4.187775739021037e-05,0.000527340539766051,1.7735338159107634e-05,0.0007535361760635743,0.0001652748033616722,5.171919056248238e-05,0.0003944479659685508,4.14816275327798e-05,0.0002535240214161491,0.0001213156099102963,0.001863596044160252,0.0,0.000256911683199841,0.0037510136676849977,7.204258305251572e-05,0.0006213511703690886,7.938744099816437e-05,0.0,0.0,0.0012141128363816038,0.00015946505574175723,3.413703687558734e-05,0.00013284891110232813,0.0,0.0,0.0,0.0005080563801454279,0.0,0.0,0.0,0.0001353804234353391,0.0,0.0,0.0,0.00039760529267104504,5.865758323467549e-05,0.0006432259096528454,6.188507461815787e-05,7.028775149704928e-05,7.4486999219414555e-06,3.524432038080494e-05,0.0,0.0,0.00022635626900769994,0.0005994005416749819,0.0012560027831430803,8.471172605071529e-05,0.00018329604006855405,0.0003699019714489893,5.3357020016627405e-05,0.00020388015386053806,A
AR,0.11413142189261777,0.0006716356541561331,0.09824886826535932,0.08860539848281039,0.1464631475990566,0.14017859541570463,0.1563967868592847,0.13339634872427525,0.12592401991688326,0.0006716356541561331,0.12762643918854605,0.046992570302354895,0.1861312934589789,0.09191609511703688,0.0655903421095169,0.06070297235646687,0.1927857431178138,0.18717175157025645,0.07298325006172868,0.12867785025639544,0.162346708900612,0.12931325895287152,0.15872351464087595,0.08686866642351823,0.07444573817683371,0.2815362988077531,0.12887376781341087,0.10299117405120413,0.19073649287303707,0.10669799820242323,0.06980512063991808,0.20239836208731102,0.10754045654861287,0.0974879249996488,0.1968032585241982,0.20675988926784877,0.05309550643790825,0.05989339905060101,0.26710055359404583,0.14208529363792377,0.11948475882553058,0.08580444928366916,0.06942666562775221,0.2303550753265781,0.0442895593011493,0.08975403555216842,0.14086037779447014,0.1187578613418104,0.11587990701108633,0.15125248108924055,0.10811316114028373,0.08567903983582242,0.055795633780195926,0.10566509185029026,0.11327619877173797,0.13248104959873633,0.15095701291884803,0.16620363659717383,0.0994013706517762,0.13733583634371163,0.14160921336763957,0.05217300106356187,A
AS,0.09249182282449778,0.4584232097063173,0.1517505960175182,0.05172304308181943,0.08305065119788516,0.06354115924025959,0.051504488591851846,0.05398313668763049,0.04787550535844562,0.4584232097063173,0.003843689541795997,0.409810068971502,0.02302270325149031,0.09357877401512996,0.004319671571076073,0.05237874253786975,0.10112785725918272,0.0882016436762076,0.07267295782962196,0.06889668637682386,0.06960301019488724,0.07213834164766592,0.038682670128234016,0.05352252998011294,0.05074719645523271,0.07426167322929585,0.07437121393873453,0.024435462035332818,0.03963939113064851,0.02844811060229936,0.04764916179946245,0.041569897563946814,0.06707195967707413,0.07044607053368489,0.044520916562493774,0.0897685834368238,0.020973073999710008,0.05980042194728941,0.03956193220233999,0.05631085378212584,0.05714919612166415,0.024312643621559615,0.09083948722471699,0.028385004889501644,0.019004420526947365,0.10645153599513482,0.1634011701160807,0.052938684904138895,0.053472960192843165,0.04016257271700145,0.061355424764632835,0.01789949722545546,0.022290052371115067,0.005868910116569086,0.0699888324590568,0.05327316647761032,0.04953924104308104,0.061784197899544355,0.0525090218845616,0.0589350834092782,0.045560673990962836,0.20789172693097155,A
AT,0.15785944025849943,0.27449624885513085,0.005543524968328963,0.2930672175186965,0.09811392317788337,0.120940626750759,0.08531130630874793,0.13652517488889052,0.18814339833116653,0.27449624885513085,0.0008727888385388397,0.013692757027067308,0.007061335173798464,0.0527422724720515,0.6522711388538678,0.006775968873527942,0.12478337490270616,0.10417246338767755,0.140750334607546,0.0391567137042608,0.181396952359735,0.1393559444019067,0.10582371444485164,0.04446336559496976,0.0353374602629285,0.1379460583057159,0.06198566207481836,0.1907690304661075,0.07284102459112206,0.008019279103545558,0.06966026131662664,0.22315641886568013,0.08823192886699939,0.2542724712206452,0.1438404572587057,0.14630186901425785,0.023192625283667462,0.1062232829064982,0.18208602975556956,0.09391409356731391,0.24850108372810772,0.3769084272648475,0.23943810774160243,0.18136993321109762,0.006270608034057829,0.06470932129700845,0.09499431883457397,0.2853627302971775,0.17735790237855786,0.1522925927826792,0.21054250216914658,0.3395469453792144,0.30622637053664536,0.34018164375610144,0.10276640535021696,0.11193618984957328,0.1454808625862967,0.17672613330551146,0.2961054897942398,0.16082703559267464,0.057785623156333704,0.2128700710344551,A
